cell	state
1	2110101001
2	2112111221
3	2100101000
4	2102110021
5	2112111221
6	2112111221
7	1111001211
8	1111001211
9	2112111211
10	0112210011
12	2112101000
13	2000100021
14	2000100021
15	2100101021
16	2100101021
17	2111101021
18	2111101021
19	2111101011
20	2111101011
21	2111101021
22	2110101021
23	2111101001
24	2112111001
25	1101001020
26	1111001000
27	2102111000
28	1112011011
29	1111101021
30	2100101021
31	1112211011
32	1112211011
33	1122111121
34	1112011201
35	1111201221
36	2101101000
43	2112111001
44	2112111001
45	2112111001
46	2112111000
